Item Description-original,Item Description - cleaned,Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value,Reduced Price Value (%),Request to Status Duration (Days)
"TEXTILES, TENTS, ETC","TEXTILES, TENTS, ETC",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,393220.87,78644.17,-80.00%,33
"PERSONAL CLOTHING, GEAR, AND EQUIPMENT","PERSONAL CLOTHING, GEAR AND EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,196610.44,39322.09,-80.00%,33
TRAINING AIDS,TRAINING AIDS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,242871.72,48574.34,-80.00%,33
"TEXTILES, TENTS, ETC","TEXTILES, TENTS, ETC",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,242871.72,48574.34,-80.00%,33
"PERSONAL CLOTHING, GEAR, AND EQUIPMENT","PERSONAL CLOTHING, GEAR AND EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,485743.43,97148.69,-80.00%,33
"MEDICAL, DENTAL EQUIPMENT AND SUPPLIES","MEDICAL, DENTAL EQUIPMENT AND SUPPLIES",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,485743.43,97148.69,-80.00%,33
ADP/OFFICE EQUIPMENT AND SUPPLIES,ADP/OFFICE EQUIPMENT AND SUPPLIES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,121435.86,24287.17,-80.00%,33
"COMM, DETECTION & COHERENT RADIATION EQUIPMENT","COMM, DETECTION & COHERENT RADIATION EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,485743.43,97148.69,-80.00%,33
AIRCRAFT COMPONENTS AND ACCESORRIES,"AIRCRAFT PARTS, COMPONENTS AND ACCESSORIES",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33
"AIRCRAFT LAUNCHING, LANDING & GROUND HNDLG EQUIP",AIRCRAFT LAUNCHING/LANDING/GROUND HANDLING EQUIP,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33
"SHIPS, SMALL CRAFT","SHIPS, SMALL CRAFT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33
SHIP AND MARINE EQUIPMENT,SHIP AND MARINE EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,330305.53,66061.11,-80.00%,33
PASSENGER VEHICLES,PASSENGER VEHICLES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33
SEARCH AND RESCUE EQUIPMENT,SEARCH AND RESCUE EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,330305.53,66061.11,-80.00%,33
"COMM, DETECTION & COHERENT RADIATION EQUIPMENT","COMM, DETECTION & COHERENT RADIATION EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33
TRAINING AIDS,TRAINING AIDS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33
ADP/OFFICE EQUIPMENT AND SUPPLIES,ADP/OFFICE EQUIPMENT AND SUPPLIES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,82576.38,16515.28,-80.00%,33
"TEXTILES, TENTS, ETC","TEXTILES, TENTS, ETC",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33
"AIRCRAFT LAUNCHING, LANDING & GROUND HNDLG EQUIP",AIRCRAFT LAUNCHING/LANDING/GROUND HANDLING EQUIP,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,393220.87,78644.17,-80.00%,33
SEMITRAILER LOW BED: 25 TON 4 WHEEL W/E,SEMITRAILER LOW BED: 25 TON 4 WHEEL W/E,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Senegal,EDA Accepted/LOA Implemented,3/1/2010,1,1,0,0,0,7729,1545.8,-80.00%,59
"TRUCK, TRACTOR: MET 8X6 75000 GVW W/W C/S","TRUCK, TRACTOR: MET 8X6 75000 GVW W/W C/S",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Senegal,EDA Accepted/LOA Implemented,3/1/2010,1,1,0,0,0,74288,14857.6,-80.00%,59
SMALL ARMS PROTECTIVE INSERT (SAPI) PLATES,SMALL ARMS PROTECTIVE INSERT (SAPI) PLATES,Grant Authority,1/1/2010,Army,Pakistan,EDA Delivered,3/12/2010,2500,2500,2500,0,2500,1254060,250800,-80.00%,70
TRUCK UTILITY HVY VAN M1097A2,TRUCK UTILITY HVY VAN M1097A2,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Accepted/LOA Implemented,3/23/2010,3,3,3,0,0,184995,55498.5,-70.00%,81
TESTER ASSEMBLY,TESTER ASSEMBLY,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Accepted/LOA Implemented,3/23/2010,7,7,7,0,0,51807,20722.8,-60.00%,81
XM-15 HOISTING BEAM (90 BAR),XM-15 HOISTING BEAM (90 BAR),Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,1,1,0,0,0,780,39,-95.00%,89
XM-35 HOISTING BEAM (45 BAR),XM-35 HOISTING BEAM (45 BAR),Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,1,1,0,0,0,320,16,-95.00%,89
VTGR (TAS) MAINTENANCE KIT,VTGR (TAS) MAINTENANCE KIT,Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,1,1,0,0,0,277200,13860,-95.00%,89
SHOP 1,SHOP 1,Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,1,1,0,0,0,1366774,68339,-95.00%,89
"TSM-169, SHOP 2","TSM-169, SHOP 2",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,1,1,0,0,0,968240,48412,-95.00%,89
"TSM-190, SHOP 20","TSM-190, SHOP 20",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,1,1,0,0,0,568030,28402,-95.00%,89
"TSM-188, SHOP 21","TSM-188, SHOP 21",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,1,1,0,0,0,1366774,68339,-95.00%,89
PROOF LOADING KIT,PROOF LOADING KIT,Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,1,1,0,0,0,9000,450,-95.00%,89
"HAWK LOADER TRANSPORTER, DIESEL","HAWK LOADER TRANSPORTER, DIESEL",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,2,2,0,0,0,870654,43532,-95.00%,89
"AN/MPQ-57, HIGH POWERED ILLUMINATOR RADAR","AN/MPQ-57, HIGH POWERED ILLUMINATOR RADAR",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,3,3,0,0,0,5940840,297042,-95.00%,89
"AN/MPQ-62, CONTINOUS WAVE ACQUISITION RADAR","AN/MPQ-62, CONTINOUS WAVE ACQUISITION RADAR",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,3,3,0,0,0,4666860,233343,-95.00%,89
"AN/MPQ-61, HIGH POWERED ILLUMINATOR RADAR",HIGH POWERED ILLUMINATOR RADAR (HPI) AN/MPQ-61,Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,9,9,0,0,0,20090043,1004499,-95.00%,89
"AN/MPQ-55, CONTINOUS WAVE ACQUISITION RADAR","AN/MPQ-55, CONTINOUS WAVE ACQUISITION RADAR",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,9,9,0,0,0,11969280,598464,-95.00%,89
"AN/GSA-137, BATTERY INTERCONNECTING GROUP","AN/GSA-137, BATTERY INTERCONNECTING GROUP",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,12,12,0,0,0,1056720,52836,-95.00%,89
"TEST EQUIPMENT, OME/G","TEST EQUIPMENT, OME/G",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,12,12,0,0,0,1787040,89352,-95.00%,89
PLATOON COMMAND POST,PLATOON COMMAND POST,Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,12,12,0,0,0,27887928,1394400,-95.00%,89
"HAWK LOADER TRANSPORTER, GAS","HAWK LOADER TRANSPORTER, GAS",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,24,24,0,0,0,6607680,330384,-95.00%,89
"RAMP, LONG, VEHICLE KIT","RAMP, LONG, VEHICLE KIT",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,26,26,0,0,0,188942,9438,-95.00%,89
UH-1H Helicopter,UH-1 HELICOPTER,Grant Authority,1/1/2010,Army,Lebanon,Service Authorized to Supply EDA,3/31/2010,34,34,0,0,0,30449232,1447350,-95.25%,89
"TRAINING MISSILE, HAWK, MTM-23","TRAINING MISSILE, HAWK, MTM-23",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,36,36,0,0,0,837360,41868,-95.00%,89
"PALLET TRAILER, M390C","PALLET TRAILER, M390C",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,36,36,0,0,0,145872,7308,-94.99%,89
CONTAINER MISSILE,CONTAINER MISSILE,Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,36,36,0,0,0,227304,11376,-95.00%,89
M192E1 GUIDED MISSILE LAUNCHER,"LAUNCHER, GUIDED MISSILE M192",Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,36,36,0,0,0,14653440,732672,-95.00%,89
POWER DISTIBUTION PANEL,POWER DISTIBUTION PANEL,Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,48,48,0,0,0,23040,1152,-95.00%,89
MISSILE PALLER,MISSILE PALLER,Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,50,50,0,0,0,431000,21550,-95.00%,89
MIM-23P TACTICAL MISSILE W/CONTAINER,MIM-23P TACTICAL MISSILE W/CONTAINER,Grant Authority,1/1/2010,Army,Morocco,Service Authorized to Supply EDA,3/31/2010,162,162,0,0,0,37839960,1891998,-95.00%,89
CTG 90MM HEAT M371A1,CTG 90MM HEAT M371A1,Grant Authority,1/1/2010,Army,Lebanon,Service Authorized to Supply EDA,3/31/2010,433,433,0,0,0,45032,13509.6,-70.00%,89
CTG 25MM DUMMY M794,CTG 25MM DUMMY M794,Grant Authority,1/1/2010,Army,Lebanon,Service Authorized to Supply EDA,3/31/2010,500,500,0,0,0,1740,522,-70.00%,89
CTG 90MM CANISTER M590,CTG 90MM CANISTER M590,Grant Authority,1/1/2010,Army,Lebanon,Service Authorized to Supply EDA,3/31/2010,712,712,0,0,0,55301.04,16590.31,-70.00%,89
CTG 9MM BALL M1 AMMUNITION PARABELLUM,CTG 9MM BALL M1 AMMUNITION PARABELLUM,Grant Authority,1/1/2010,Army,Lebanon,Service Authorized to Supply EDA,3/31/2010,5414,5414,0,0,0,649.68,194.9,-70.00%,89
CTG 9MM BALL M1 AMMUNITION PARABELLUM,CTG 9MM BALL M1 AMMUNITION PARABELLUM,Grant Authority,1/1/2010,Army,Lebanon,Service Authorized to Supply EDA,3/31/2010,17442,17442,0,0,0,5232.6,1569.78,-70.00%,89
CTG 30 CAL BALL M2 AMMUNITION (CTN PK),CTG 30 CAL BALL M2 AMMUNITION (CTN PK),Grant Authority,1/1/2010,Army,Lebanon,Service Authorized to Supply EDA,3/31/2010,308959,308959,0,0,0,61791.8,18537.54,-70.00%,89
TOWEL BATH: COTTON BROWN 436 20x40 INCH,TOWEL BATH: COTTON BROWN 436 20x40 INCH,Grant Authority,1/1/2010,Army,Afghanistan,Service Authorized to Supply EDA,5/16/2010,1702,1702,0,0,0,4595.4,1378.62,-70.00%,135
LINER W/W PONCHO WOODLAND,LINER W/W PONCHO WOODLAND,Grant Authority,1/1/2010,Army,Afghanistan,Service Authorized to Supply EDA,5/16/2010,3000,3000,0,0,0,110160,33048,-70.00%,135
BOOTS COLD WEATHER,BOOTS COLD WEATHER,Grant Authority,1/1/2010,Army,Afghanistan,Service Authorized to Supply EDA,5/16/2010,3500,3500,0,0,0,293405,88021.5,-70.00%,135
GAITER NECK DR BROWN,GAITER NECK DR BROWN,Grant Authority,1/1/2010,Army,Afghanistan,Service Authorized to Supply EDA,5/16/2010,5500,5500,0,0,0,13035,3910.5,-70.00%,135
SIG SMK GROUND YELLOW,SIG SMK GROUND YELLOW,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,10,10,0,0,0,15.5,4.65,-70.00%,153
SIG SMK GROUND,SIG SMK GROUND,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,131,131,0,0,0,164.96,49.49,-70.00%,153
SIG ILLUM GROUND WHITE,SIG ILLUM GROUND WHITE,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,300,300,0,0,0,450,135,-70.00%,153
SMOKE POT GROUND M1,SMOKE POT GROUND M1,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,339,339,0,0,0,6641.01,1992.3,-70.00%,153
CTG 106MM APERS-T,CTG 106MM APERS-T,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,545,545,0,0,0,158505,47251,-70.19%,153
CTG 50 CAL API-T M20,CTG 50 CAL API-T M20,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,566,566,0,0,0,826,250,-69.73%,153
CTG 7.62MM BALL M80 LINKED,CTG 7.62MM BALL M80 LINKED,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,800,800,0,0,0,408,122.4,-70.00%,153
IGN TIME,IGN TIME,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,872,872,0,0,0,575,172.66,-69.97%,153
SIG ILLUM M39,SIG ILLUM M39,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,1668,1668,0,0,0,22818.24,6845.47,-70.00%,153
SIG SMK GROUND RED,SIG SMK GROUND RED,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,1875,1875,0,0,0,2719,815.63,-70.00%,153
CTG 106MM M344A1,CTG 106MM M344A1,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,1929,1929,0,0,0,401232,120370,-70.00%,153
DET PERC M2A1,DET PERC M2A1,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,2229,2229,0,0,0,51423.03,15426,-70.00%,153
CTG 105MM APFSDS,CTG 105MM APFSDS-T,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,3360,3360,0,0,0,1994026,598207.8,-70.00%,153
BLASTING CAP,BLASTING CAP,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,4088,4088,0,0,0,36710.24,11013,-70.00%,153
SIG SMK,SIG SMK,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,5000,5000,0,0,0,78450,23535,-70.00%,153
CAP BLAST PRAC ELEC,CAP BLAST PRAC ELEC,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,6826,6826,0,0,0,132220,39665,-70.00%,153
CTG 105MM HEAT -T,CTG 105MM HEAT -T,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,10000,10000,0,0,0,5680000,1704000,-70.00%,153
CTG 50 CAL TRAER,CTG 50 CAL TRACER,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,12000,12000,0,0,0,18960,5689,-69.99%,153
CTG 50 CAL SPOTTER,CTG 50 CAL SPOTTER,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,15000,15000,0,0,0,44100,13230,-70.00%,153
DET PERC M2A2,DET PERC M2A2,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,16489,16489,0,0,0,324338,97302,-70.00%,153
DUAL IN-LINE,DUAL IN-LINE,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,32133,32133,0,0,0,1627215,488164,-70.00%,153
GHARGE DEMMO,GHARGE DEMMO,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,106658,106658,0,0,0,188785,56635.35,-70.00%,153
CTG 22 CAL MATCH LR,CTG 22 CAL MATCH LR,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,200000,200000,0,0,0,188000,56400,-70.00%,153
GHARGE DEMMO,GHARGE DEMMO,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,216238,216238,0,0,0,1347884,404365,-70.00%,153
COUPLING BASE,COUPLING BASE,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,236199,236199,0,0,0,786543,235963,-70.00%,153
CTG 22 CAL BALL LT,CTG 22 Cal Ball,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,279181,279181,0,0,0,11167.24,3350.17,-70.00%,153
CTG 22 CAL MATCH LR PISTOR,CTG 22 CAL MATCH LR PISTOR,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,300000,300000,0,0,0,72000,21600,-70.00%,153
CTG 7.62MM TRACER,CTG 7.62MM TRACER,Grant Authority,1/1/2010,Army,Lebanon,EDA Cancelled,6/3/2010,314000,314000,0,0,0,94200,28260,-70.00%,153
UH-1 HELICOPTER,UH-1 HELICOPTER,Grant Authority,1/1/2010,Army,Yemen,EDA Cancelled,6/16/2010,4,4,0,0,0,3690816,369080,-90.00%,166
TARGET CONTROL TRANSCEVER RETS,TARGET CONTROL TRANSCEVER RETS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,Service Authorized to Supply EDA,6/22/2010,89,89,0,0,0,1112500,222500,-80.00%,172
UH-1 HELICOPTERS,UH-1 HELICOPTERS,Grant Authority,1/1/2010,Army,Kazakhstan,Service Authorized to Supply EDA,7/8/2010,4,4,0,0,0,3690816,184540,-95.00%,188
SH-60F HELICOPTER,SH-60F HELICOPTER,Grant Authority,1/1/2010,Navy,Tunisia,Service Authorized to Supply EDA,7/8/2010,6,6,0,0,0,140286810,28057362,-80.00%,188
"AIRCRFT COMPTS, ACCESSORIES & HANDLING EQUIP","FIRE CONTROL, ORDINANCE DISPOSAL AND MISSILE HANDLING EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Mali,EDA Accepted/LOA Implemented,7/9/2010,0,0,0,0,0,35022.24,17511.12,-50.00%,189
TIRES AND TUBES,TIRES AND TUBES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Mali,EDA Accepted/LOA Implemented,7/9/2010,0,0,0,0,0,35022.24,17511.12,-50.00%,189
AUTOMATIC DATA PROCESSING EQUIPMENT,AUTOMATIC DATA PROCESSING EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Mali,EDA Accepted/LOA Implemented,7/9/2010,0,0,0,0,0,35022.24,17511.12,-50.00%,189
"PLUMBING, HEATING, & WATER TREATMENT EQUIP","PLUMBING, HEATING, & WATER TREATMENT EQUIP",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Mali,EDA Accepted/LOA Implemented,7/9/2010,0,0,0,0,0,35022.24,17511.12,-50.00%,189
HAND & MEASURING TOOLS,HAND AND MEASURING TOOLS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Mali,EDA Accepted/LOA Implemented,7/9/2010,0,0,0,0,0,35022.24,17511.12,-50.00%,189
SIG SMK GROUND YELLOW M169,SIG SMK GROUND YELLOW M169,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,10,10,0,0,0,15.5,4.65,-70.00%,200
CTG 50 CAL API-T M20,CTG 50 CAL API-T M20,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,565,565,0,0,0,825,248,-69.94%,200
IGN TIME,IGN TIME,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,872,872,0,0,0,583,175,-69.98%,200
SIG ILLUM M39,SIG ILLUM M39,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,1667,1667,0,0,0,22805,6841,-70.00%,200
SIG SMK GROUND RED M168,SIG SMK GROUND RED M168,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,1875,1875,0,0,0,2719,825,-69.66%,200
SIG ILLUM ACFT,SIG ILLUM ACFT,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,2005,2005,0,0,0,26265.5,7879,-70.00%,200
DET PERC M2A1,DET PERC M2A1,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,2228,2228,0,0,0,51417,15425,-70.00%,200
DUAL IN-LINE,DUAL IN-LINE,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,3000,3000,0,0,0,151920,45570,-70.00%,200
CAP BLAST PRAC ELEC,CAP BLAST PRAC ELEC,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,3000,3000,0,0,0,17430,5229,-70.00%,200
DET PERC M2A2,DET PERC M2A2,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,3000,3000,0,0,0,59000,17700,-70.00%,200
